"SourceId","Document","ParagraphId","Mention"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0539","AGENT 5 — REVENUE OPERATIONS (REVOPS)"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0573","AGENT 6 — EXECUTIVE POWER STRUCTURE"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0314","AGENT 1 — MARKET INTELLIGENCE COMMAND"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0390","AGENT 2 — PIPELINE ACQUISITION ENGINE"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0438","AGENT 3 — SALES CONVERSION ENGINE"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0488","AGENT 4 — REVENUE OPERATIONS COMMAND (RevOps)"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0531","AGENT 5 — STRATEGIC ADAPTATION ENGINE"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","P0570","AGENT 6 — EXECUTION DISCIPLINE SYSTEM"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","P0143","AGENT 1 — ATTENTION ACQUISITION ENGINE"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","P0214","AGENT 2 — NARRATIVE CONTROL SYSTEM"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","P0256","AGENT 3 — TRUST INFRASTRUCTURE ENGINE"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","P0283","AGENT 4 — IDENTITY & COMMUNITY ENGINE"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","P0312","AGENT 5 — DEMAND CONDITIONING SYSTEM"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0279","AGENT 1 — MARKET INTELLIGENCE AGENT"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0340","AGENT 2 — OUTBOUND ACTIVATION AGENT"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0402","AGENT 3 — CONVERSATION INTELLIGENCE AGENT"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0442","AGENT 4 — OFFER ARCHITECTURE AGENT"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0474","AGENT 5 — CLOSING & REVENUE EXTRACTION AGENT"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","P0498","AGENT 6 — FOLLOW-UP DOMINANCE AGENT"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0172","A. Intelligence Agent"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0181","B. Qualification Agent"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0190","C. Engagement Agent"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0199","D. Offer Engineering Agent"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0208","E. Closing Agent"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","P0217","F. Optimization Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0148","C. Sales Strategist Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0155","D. CRM Automation Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0162","E. Training & Enablement Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0305","AGENT 1 — Revenue Acquisition Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0353","AGENT 2 — Objection Intelligence Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0395","AGENT 3 — Frame Control Agent"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","P0437","AGENT 4 — Conversion Systems Agent"
"SD-027-MAINTAIN","Maintaing Sales System. Draft 27.docx","P0131","AGENT 1 — EXECUTIVE REVENUE GOVERNANCE"
"SD-027-MAINTAIN","Maintaing Sales System. Draft 27.docx","P0229","AGENT 2 — SALES EXECUTION FORCE"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0371","AGENT 1 — STRATEGIC INTELLIGENCE COMMAND"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0430","AGENT 2 — OPPORTUNITY QUALIFICATION ENGINE"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0472","AGENT 3 — DISCOVERY & PSYCHOLOGICAL INTELLIGENCE ENGINE"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0486","1. Context Extraction Agent"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0492","2. Emotional Mapping Agent"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0499","3. Decision Architecture Agent"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0525","AGENT 4 — SOLUTION ARCHITECTURE SYSTEM"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0532","1. Value Translation Agent"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0537","2. Scenario Modeling Agent"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","P0542","3. Friction Reduction Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0277","1. Intelligence Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0425","AGENT 1 — MARKET CAPTURE ENGINE"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0477","AGENT 2 — CONVERSION INTELLIGENCE ENGINE"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0522","AGENT 3 — AUTHORITY & STATUS ENGINE"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0541","2. Prestige Positioning Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0551","AGENT 4 — POWER & ACCESS SYSTEM"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0581","2. Power Mapping Intelligence Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0593","3. Timing Intelligence Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0605","AGENT 5 — DELIVERY EXPERIENCE ENGINE"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0636","AGENT 6 — SALES INTELLIGENCE CORE"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0648","1. Relationship Intelligence Agent"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","P0656","2. Market Signal Intelligence Agent"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","P0138","AGENT 1 — TRAFFIC & ATTENTION ENGINE"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","P0205","AGENT 2 — LEAD CONVERSION ENGINE"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","P0249","AGENT 3 — DELIVERY ENGINE"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","P0265","AGENT 4 — DATA & INTELLIGENCE ENGINE"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","P0292","AGENT 5 — AUTOMATION & AI ORCHESTRATION ENGINE"
"SD-051-MONETIZI","Monetizing Sales System. Draft 51.docx","P0196","AGENT 1 — ATTENTION ENGINE"
"SD-051-MONETIZI","Monetizing Sales System. Draft 51.docx","P0281","AGENT 2 — AUTHORITY ENGINE"
"SD-051-MONETIZI","Monetizing Sales System. Draft 51.docx","P0318","AGENT 3 — CONVERSION ENGINE"
"SD-051-MONETIZI","Monetizing Sales System. Draft 51.docx","P0353","AGENT 4 — AI AUTOMATION LAYER"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0386","AGENT 1 — STRATEGIC INTELLIGENCE ENGINE"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0413","1A — Market Intelligence Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0450","1B — Client Intelligence Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0472","AGENT 2 — MUTUAL DISCOVERY ENGINE"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0485","2A — Conversational Intelligence Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0508","2B — Trust Engineering Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0525","AGENT 3 — DECISION ARCHITECTURE ENGINE"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0536","3A — Stakeholder Power Mapping Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0553","3B — Objection Intelligence Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0571","AGENT 4 — EXECUTION OPERATING SYSTEM"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0600","4B — Workflow Orchestration Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0615","AGENT 5 — LEARNING & ADAPTATION ENGINE"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0619","5A — Pattern Learning Subagent"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","P0633","5B — System Reflection Subagent"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0450","AGENT 1 — ECOSYSTEM STRATEGIST"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0477","1A — Market Intelligence Architect"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0499","1C — Strategic Positioning Architect"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0536","AGENT 2 — RELATIONSHIP ACQUISITION ENGINE"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0547","2A — Outreach Operator"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0561","2B — Trust Development Operator"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0568","2C — Social Signal Intelligence Analyst"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0575","AGENT 3 — PARTNERSHIP STRUCTURING ENGINE"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0579","3A — Incentive Architect"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0586","3B — Deal Structuring Operator"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0601","AGENT 4 — COLLABORATION ORCHESTRATION ENGINE"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0605","4A — Integration Architect"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0617","4C — Knowledge Synchronization Agent"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0622","AGENT 5 — REVENUE EXECUTION ENGINE"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0631","5B — Strategic Closer"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0641","5C — Expansion Operator"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","P0646","AGENT 6 — AI ORCHESTRATION & INTELLIGENCE SYSTEM"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0311","AGENT 1 — ENVIRONMENTAL OBSERVATION ENGINE"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0401","AGENT 2 — SYSTEM TOPOLOGY MAPPER"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0463","AGENT 3 — CODE TRANSLATION ENGINE"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0497","AGENT 4 — IRRITATION ENGINE"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0524","AGENT 5 — PARADOX ABSORPTION ENGINE"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","P0551","AGENT 6 — STRUCTURAL COUPLING ENGINE"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0129","1. Market Intelligence Agent"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0132","2. Demand Generation Agent"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0142","5. Customer Success Agent"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0145","6. Revenue Expansion Agent"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0147","7. Revenue Intelligence Agent"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0327","AGENT 1 — MARKET INTELLIGENCE COMMAND"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0384","AGENT 2 — DEMAND GENERATION ENGINE"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0430","AGENT 3 — QUALIFICATION INTELLIGENCE SYSTEM"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0467","AGENT 4 — SALES CONVERSION COMMAND"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0516","AGENT 5 — DELIVERY & VALUE REALIZATION SYSTEM"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0541","AGENT 6 — REVENUE EXPANSION ENGINE"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","P0556","AGENT 7 — REVENUE INTELLIGENCE & FEEDBACK COMMAND"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0182","1. Psychographic Intelligence Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0191","2. Segmentation & Profiling Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0200","3. Messaging & Positioning Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0218","5. Feedback Intelligence Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0388","A. Executive Decision Subagent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0399","B. Strategic Interpretation Subagent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0434","A. Motivation Extraction Subagent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0457","B. Fear & Resistance Subagent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0468","C. Decision Architecture Subagent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0496","A. Planning Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0515","B. Tool Use Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0525","C. Reflection Agent"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","P0537","D. Multi-Agent Coordination Agent"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","P0367","AGENT 1 — MARKET INTELLIGENCE COMMAND"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","P0445","AGENT 2 — DEMAND GENERATION ENGINE"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","P0497","AGENT 3 — REVENUE QUALIFICATION FIREWALL"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","P0526","AGENT 4 — SALES EXECUTION COMMAND"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","P0567","AGENT 5 — REVENUE OPERATIONS (RevOps)"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0129","Agent: Market Intelligence Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0140","Agent: Power Mapping Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0153","Agent: Deal Intelligence Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0164","Agent: Access Strategy Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0182","Agent: Political Navigation Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0194","Agent: Narrative Strategy Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0206","Agent: Competitive Intelligence Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0217","Agent: Closing Agent"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0346","AGENT 1 — MARKET INTELLIGENCE AGENT"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0418","AGENT 2 — POWER MAPPING AGENT"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0483","AGENT 3 — ROOM ACCESS STRATEGY AGENT"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0525","AGENT 4 — POLITICAL NAVIGATION AGENT"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","P0557","AGENT 5 — NARRATIVE STRATEGY AGENT"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0129","Agent: Market Intelligence Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0140","Agent: Power Mapping Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0153","Agent: Deal Intelligence Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0164","Agent: Access Strategy Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0182","Agent: Political Navigation Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0194","Agent: Narrative Strategy Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0206","Agent: Competitive Intelligence Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0217","Agent: Closing Agent"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0346","AGENT 1 — MARKET INTELLIGENCE AGENT"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0418","AGENT 2 — POWER MAPPING AGENT"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0483","AGENT 3 — ROOM ACCESS STRATEGY AGENT"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0525","AGENT 4 — POLITICAL NAVIGATION AGENT"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","P0557","AGENT 5 — NARRATIVE STRATEGY AGENT"
"SD-003-SALESCAD","Sales Cadence Stratergy. Draft 3.docx","P0452","AGENT 1 — REVENUE ORCHESTRATION ENGINE"
"SD-003-SALESCAD","Sales Cadence Stratergy. Draft 3.docx","P0528","AGENT 2 — SDR / OUTBOUND ACTIVATION SYSTEM"
"SD-003-SALESCAD","Sales Cadence Stratergy. Draft 3.docx","P0584","AGENT 3 — ACCOUNT EXECUTIVE (AE) SYSTEM"
"SD-003-SALESCAD","Sales Cadence Stratergy. Draft 3.docx","P0646","AGENT 4 — CUSTOMER SUCCESS EXPANSION ENGINE"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","P0116","AGENT 1 — OUTBOUND SALES ENGINE"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","P0196","AGENT 2 — INBOUND MARKETING ENGINE"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","P0224","AGENT 3 — PAID ACQUISITION ENGINE"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","P0248","AGENT 4 — PARTNERSHIP DISTRIBUTION NETWORK"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","P0262","AGENT 5 — PLATFORM & MARKETPLACE SYSTEMS"
"SD-036-SALESCOM","Sales Competition Layers. Draft 36.docx","P0107","AGENT 1 — SELLING ORGANIZATION"
"SD-036-SALESCOM","Sales Competition Layers. Draft 36.docx","P0232","AGENT 2 — BUYING ORGANIZATION"
"SD-036-SALESCOM","Sales Competition Layers. Draft 36.docx","P0275","AGENT 3 — COMPETITORS"
"SD-026-SALESCYC","Sales Cycle Execution Tips. Draft 26.docx","P0529","AGENT 1 — MARKET INTELLIGENCE ENGINE"
"SD-026-SALESCYC","Sales Cycle Execution Tips. Draft 26.docx","P0601","AGENT 2 — DEMAND GENERATION ENGINE"
"SD-026-SALESCYC","Sales Cycle Execution Tips. Draft 26.docx","P0644","AGENT 3 — SALES EXECUTION ENGINE"
"SD-026-SALESCYC","Sales Cycle Execution Tips. Draft 26.docx","P0700","AGENT 4 — CUSTOMER SUCCESS ENGINE"
"SD-018-SALESDEC","Sales Decision Intelligence. Draft 18.docx","P0451","AGENT 1 — REVENUE COMMAND AGENT"
"SD-018-SALESDEC","Sales Decision Intelligence. Draft 18.docx","P0507","AGENT 2 — INTENT INTELLIGENCE AGENT"
"SD-018-SALESDEC","Sales Decision Intelligence. Draft 18.docx","P0557","AGENT 3 — SALES EXECUTION AGENT"
