Document Name,Relative Path,Extension,Word Count,Purpose,Strategic Function,Business Function,Layer Assignment,Dependencies,Inputs,Outputs,Workflows Supported,KPIs Influenced,Revenue Impact,Automation Potential,Decision Value,Scalability Value,Risk Factors,Related Documents,Related Systems,Related Departments,Lifecycle Position,Headings / Signals
__init__.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\__init__.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
client_workspace.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\client_workspace.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
models.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\models.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
client_workspace.py,Branding Drafts\bois\core\client_workspace.py,.py,132,"Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.","Branding + Client, Automation","Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Client OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Client; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.py,Branding Drafts\bois\core\governance\__init__.py,.py,3,"Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.cpython-312.pyc,Branding Drafts\bois\core\governance\__pycache__\__init__.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
policy.cpython-312.pyc,Branding Drafts\bois\core\governance\__pycache__\policy.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
policy.py,Branding Drafts\bois\core\governance\policy.py,.py,362,"Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.","Branding + Automation, Management, Marketing","Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; Management OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management; Marketing,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.py,Branding Drafts\bois\core\grading\__init__.py,.py,3,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,Medium,Medium,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.cpython-312.pyc,Branding Drafts\bois\core\grading\__pycache__\__init__.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
engine.cpython-312.pyc,Branding Drafts\bois\core\grading\__pycache__\engine.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
engine.py,Branding Drafts\bois\core\grading\engine.py,.py,540,"Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.","Branding + Automation, Marketing, Sector","Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; Marketing OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Marketing; Sector; Management,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.py,Branding Drafts\bois\core\ingestion\__init__.py,.py,5,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",High,Medium,Medium,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
__init__.cpython-312.pyc,Branding Drafts\bois\core\ingestion\__pycache__\__init__.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
docx_reader.cpython-312.pyc,Branding Drafts\bois\core\ingestion\__pycache__\docx_reader.cpython-312.pyc,.pyc,11,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,"Supports Branding operating performance and its handoffs into Marketing, Sales, Client experience, Trust and authority.",Branding + Automation,"Sector, Client, Offer, Marketing, Sales, Culture","identity, sector codes, audience psychology, culture, proof, service reality","positioning, narrative, visual language, trust architecture, brand governance","Awareness, Interest, Trust, Sales assist, Retention","trust signal strength, message recall, narrative coherence, authority score, brand-sales alignment, brand-marketing alignment","Indirect-to-direct: improves trust, market selection, messaging, offer fit, and conversion efficiency.",Medium,High,High,"generic output, narrative drift, visual inconsistency, unproven claims","Same layer documents; upstream: Sector, Client, Offer, Marketing, Sales, Culture; downstream: Marketing, Sales, Client experience, Trust and authority",Branding OS; Automation OS; BOIS; Brand Memory; Brand Governance; Agent Runtime; Memory Log; Workflow Automation,Branding; Automation; Management,"Awareness, Interest, Trust, Sales assist, Retention",
