Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\04_State\CLIENTPARTNER_STATE_MODEL_AND_STATUS_BOARD.md,"Promote state management into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\05_Execution\CLIENTPARTNER_EXECUTION_PLAYBOOK.md,"Promote execution into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\05_Execution\CLIENTPARTNER_WORKFLOW_CATALOG.md,"Promote workflows into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\06_Automation\CLIENTPARTNER_AGENT_REGISTRY.md,"Promote agents into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Agents is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\06_Automation\CLIENTPARTNER_TOOL_AND_CONNECTOR_REGISTRY.md,"Promote tools into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Tools is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\07_Schemas\CLIENTPARTNER_DATA_CONTRACTS_AND_SCHEMAS.md,"Promote schemas into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Schemas is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\07_Schemas\CLIENTPARTNER_EVENT_CATALOG.md,"Promote events into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Events is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\08_Artifacts\CLIENTPARTNER_ARTIFACT_CATALOG.md,"Promote artifacts into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Artifacts is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Governance\CLIENTPARTNER_OWNERSHIP_RACI.md,"Promote ownership into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Ownership is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\09_Validation\CLIENTPARTNER_VALIDATION_GATES.md,"Promote validation into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Validation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\10_Observability\CLIENTPARTNER_OBSERVABILITY_DASHBOARD_SPEC.md,"Promote observability into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Observability is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\10_Observability\CLIENTPARTNER_INFORMATION_STORAGE_AND_PERSISTENCE_MAP.md,"Promote information storage into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Information Storage is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\11_Memory\CLIENTPARTNER_HISTORICAL_MEMORY_LOG.md,"Promote historical memory into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Historical Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\11_Memory\CLIENTPARTNER_OPERATIONAL_MEMORY_LOG.md,"Promote operational memory into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Operational Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\11_Memory\CLIENTPARTNER_DECISION_LOG.md,"Promote decision memory into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Decision Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\11_Memory\CLIENTPARTNER_EXECUTION_LOG.md,"Promote execution memory into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Execution Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\12_Learning\CLIENTPARTNER_LEARNING_LOOP_PROTOCOL.md,"Promote learning systems into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Learning Systems is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Governance\CLIENTPARTNER_ENTERPRISE_CONTROLS.md,"Promote enterprise controls into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Enterprise Controls is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\06_Automation\CLIENTPARTNER_AUTOMATION_REGISTRY_AND_APPROVAL_MATRIX.md,"Promote automation into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Automation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Governance\CLIENTPARTNER_SECURITY_AND_ACCESS_POLICY.md,"Promote security into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Security is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\13_Resources\CLIENTPARTNER_RESOURCE_AND_CAPACITY_MODEL.md,"Promote resources into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Resources is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\14_Knowledge\CLIENTPARTNER_KNOWLEDGE_GRAPH_INDEX.md,"Promote knowledge into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Knowledge is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\15_Change\CLIENTPARTNER_CHANGE_CONTROL_PROTOCOL.md,"Promote change management into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Change Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\15_Change\CLIENTPARTNER_VERSIONING_AND_RELEASE_LOG.md,"Promote versioning into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Versioning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\16_Recovery\CLIENTPARTNER_RECOVERY_AND_FALLBACK_PLAN.md,"Promote recovery into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Recovery is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Foundation\CLIENTPARTNER_INITIATIVE_PORTFOLIO.md,"Promote strategic planning into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Strategic Planning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\17_Evolution\CLIENTPARTNER_EVOLUTION_ROADMAP.md,"Promote evolution into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Evolution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\18_Completion\CLIENTPARTNER_COMPLETION_CRITERIA.md,"Promote completion into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Critical,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Completion is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
