Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,client_workspace.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\client_workspace.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,models.cpython-312.pyc,Branding Drafts\bois\core\__pycache__\models.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,client_workspace.py,Branding Drafts\bois\core\client_workspace.py,.py,132,"Branding + Client, Automation","Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\governance\__init__.py,.py,3,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\governance\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,policy.cpython-312.pyc,Branding Drafts\bois\core\governance\__pycache__\policy.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,policy.py,Branding Drafts\bois\core\governance\policy.py,.py,362,"Branding + Automation, Management, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\grading\__init__.py,.py,3,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\grading\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.cpython-312.pyc,Branding Drafts\bois\core\grading\__pycache__\engine.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.py,Branding Drafts\bois\core\grading\engine.py,.py,540,"Branding + Automation, Marketing, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\ingestion\__init__.py,.py,5,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\ingestion\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,docx_reader.cpython-312.pyc,Branding Drafts\bois\core\ingestion\__pycache__\docx_reader.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,pipeline.cpython-312.pyc,Branding Drafts\bois\core\ingestion\__pycache__\pipeline.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,docx_reader.py,Branding Drafts\bois\core\ingestion\docx_reader.py,.py,118,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,pipeline.py,Branding Drafts\bois\core\ingestion\pipeline.py,.py,904,"Branding + Automation, Sector, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\knowledge\__init__.py,.py,5,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\knowledge\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,graph_builder.cpython-312.pyc,Branding Drafts\bois\core\knowledge\__pycache__\graph_builder.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,graph_builder.py,Branding Drafts\bois\core\knowledge\graph_builder.py,.py,360,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\memory\__init__.py,.py,4,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\memory\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,store.cpython-312.pyc,Branding Drafts\bois\core\memory\__pycache__\store.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,store.py,Branding Drafts\bois\core\memory\store.py,.py,404,"Branding + Client, Automation, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,models.py,Branding Drafts\bois\core\models.py,.py,564,"Branding + Automation, Sector, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\orchestration\__init__.py,.py,3,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\orchestration\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.cpython-312.pyc,Branding Drafts\bois\core\orchestration\__pycache__\engine.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,registry.cpython-312.pyc,Branding Drafts\bois\core\orchestration\__pycache__\registry.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.py,Branding Drafts\bois\core\orchestration\engine.py,.py,522,"Automation + Branding, Client, Marketing","Contributes reusable Automation knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Branding Drafts,Branding,registry.py,Branding Drafts\bois\core\orchestration\registry.py,.py,851,"Branding + Automation, Marketing, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\presentation\__init__.py,.py,3,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\presentation\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.cpython-312.pyc,Branding Drafts\bois\core\presentation\__pycache__\engine.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,engine.py,Branding Drafts\bois\core\presentation\engine.py,.py,270,"Branding + Automation, Sector, Client","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\retrieval\__init__.py,.py,4,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\core\retrieval\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,gated_retriever.cpython-312.pyc,Branding Drafts\bois\core\retrieval\__pycache__\gated_retriever.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,gated_retriever.py,Branding Drafts\bois\core\retrieval\gated_retriever.py,.py,724,"Branding + Client, Automation, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,COGNITIVE_INFRASTRUCTURE_ARCHITECTURE.md,Branding Drafts\bois\documentation\COGNITIVE_INFRASTRUCTURE_ARCHITECTURE.md,.md,251,"Branding + Automation, Sector, Marketing","Positions Branding components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,bootstrap_bois.cpython-312.pyc,Branding Drafts\bois\executions\__pycache__\bootstrap_bois.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,smoke_test.cpython-312.pyc,Branding Drafts\bois\executions\__pycache__\smoke_test.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,bootstrap_bois.py,Branding Drafts\bois\executions\bootstrap_bois.py,.py,241,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,smoke_test.py,Branding Drafts\bois\executions\smoke_test.py,.py,242,"Branding + Automation, Client, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,GOVERNANCE_SYSTEM.md,Branding Drafts\bois\governance\GOVERNANCE_SYSTEM.md,.md,101,"Branding + Automation, Management, Marketing","Creates control rules that protect Branding execution from trust, legal, and operational risk.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,BRAND_SCORING_SYSTEM.md,Branding Drafts\bois\grading\BRAND_SCORING_SYSTEM.md,.md,181,"Branding + Automation, Marketing, Client","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,documents.json,Branding Drafts\bois\knowledge\_indexes\documents.json,.json,1169,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,ingestion_report.json,Branding Drafts\bois\knowledge\_indexes\ingestion_report.json,.json,23,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,paragraphs.jsonl,Branding Drafts\bois\knowledge\_indexes\paragraphs.jsonl,.jsonl,522111,"Branding + Automation, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,repetition_map.json,Branding Drafts\bois\knowledge\_indexes\repetition_map.json,.json,6783,Branding + Automation,"Positions Branding components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,taxonomy_index.json,Branding Drafts\bois\knowledge\_indexes\taxonomy_index.json,.json,10282,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Financial control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,sample-nairobi-laundry.json,Branding Drafts\bois\memory\client-memory\sample-nairobi-laundry.json,.json,82,"Branding + Automation, Sector, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,sample-nairobi-laundry.jsonl,Branding Drafts\bois\memory\client-memory\sample-nairobi-laundry.jsonl,.jsonl,182,"Branding + Automation, Marketing, Client","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,document_theme_index.json,Branding Drafts\bois\memory_maps\document_theme_index.json,.json,528,"Branding + Sector, Marketing, Sales","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,knowledge_graph.json,Branding Drafts\bois\memory_maps\knowledge_graph.json,.json,367083,"Branding + Automation, Sector, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,stage_signals.json,Branding Drafts\bois\memory_maps\stage_signals.json,.json,1089,"Branding + Automation, Management, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,tag_adjacency.json,Branding Drafts\bois\memory_maps\tag_adjacency.json,.json,182,"Branding + Sector, Marketing, Sales","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,MONITORING.md,Branding Drafts\bois\monitoring\MONITORING.md,.md,86,"Branding + Automation, Management","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,TRIGGER_LOGIC.md,Branding Drafts\bois\orchestration\TRIGGER_LOGIC.md,.md,157,"Branding + Automation, Sector, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,PRESENTATION_ENGINE.md,Branding Drafts\bois\presentation_systems\PRESENTATION_ENGINE.md,.md,80,"Branding + Automation, Sector, Management","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,master_orchestration_prompt.md,Branding Drafts\bois\prompts\master_orchestration_prompt.md,.md,168,"Branding + Automation, Marketing, Sector",Provides agent/runtime instructions or integration contracts for automating Branding work.,Architecture / system map; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,QA_PROTOCOL.md,Branding Drafts\bois\quality_assurance\QA_PROTOCOL.md,.md,85,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,RAG_PIPELINE.md,Branding Drafts\bois\rag\RAG_PIPELINE.md,.md,87,"Branding + Automation, Sales","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,README.md,Branding Drafts\bois\README.md,.md,313,"Branding + Automation, Operations, Management","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,RETRIEVAL_RULES.md,Branding Drafts\bois\retrieval\RETRIEVAL_RULES.md,.md,117,"Branding + Automation, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,agent_task.schema.json,Branding Drafts\bois\schemas\agent_task.schema.json,.json,66,Branding + Automation,Provides agent/runtime instructions or integration contracts for automating Branding work.,Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,client_object.schema.json,Branding Drafts\bois\schemas\client_object.schema.json,.json,166,"Branding + Automation, Sector, Client","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,dynamic_brand_context.schema.json,Branding Drafts\bois\schemas\dynamic_brand_context.schema.json,.json,85,"Branding + Automation, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Intelligence asset; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
