Workspace,Domain,Concern,Status,Severity,Evidence,Recommended Addition,Completion Criteria
The Agency Drafts Root,Agency,State Management,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\04_State\AGENCY_STATE_MODEL_AND_STATUS_BOARD.md,"Agency State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Execution,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_EXECUTION_PLAYBOOK.md,"Agency Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Workflows,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_WORKFLOW_CATALOG.md,"Agency Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Agents,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\06_Automation\AGENCY_AGENT_REGISTRY.md,"Agency Agents is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Tools,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\06_Automation\AGENCY_TOOL_AND_CONNECTOR_REGISTRY.md,"Agency Tools is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Schemas,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\07_Schemas\AGENCY_DATA_CONTRACTS_AND_SCHEMAS.md,"Agency Schemas is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Events,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\07_Schemas\AGENCY_EVENT_CATALOG.md,"Agency Events is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Artifacts,Partially Present,Medium,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\08_Artifacts\AGENCY_ARTIFACT_CATALOG.md,"Agency Artifacts is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Ownership,Missing,Critical,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\00_Governance\AGENCY_OWNERSHIP_RACI.md,"Agency Ownership is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Validation,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\09_Validation\AGENCY_VALIDATION_GATES.md,"Agency Validation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Observability,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\10_Observability\AGENCY_OBSERVABILITY_DASHBOARD_SPEC.md,"Agency Observability is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Information Storage,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\10_Observability\AGENCY_INFORMATION_STORAGE_AND_PERSISTENCE_MAP.md,"Agency Information Storage is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Historical Memory,Partially Present,Medium,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\11_Memory\AGENCY_HISTORICAL_MEMORY_LOG.md,"Agency Historical Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Operational Memory,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\11_Memory\AGENCY_OPERATIONAL_MEMORY_LOG.md,"Agency Operational Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Decision Memory,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\11_Memory\AGENCY_DECISION_LOG.md,"Agency Decision Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Execution Memory,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\11_Memory\AGENCY_EXECUTION_LOG.md,"Agency Execution Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Learning Systems,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\12_Learning\AGENCY_LEARNING_LOOP_PROTOCOL.md,"Agency Learning Systems is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Enterprise Controls,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_ENTERPRISE_CONTROLS.md,"Agency Enterprise Controls is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Automation,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\06_Automation\AGENCY_AUTOMATION_REGISTRY_AND_APPROVAL_MATRIX.md,"Agency Automation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Security,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\00_Governance\AGENCY_SECURITY_AND_ACCESS_POLICY.md,"Agency Security is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Resources,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\13_Resources\AGENCY_RESOURCE_AND_CAPACITY_MODEL.md,"Agency Resources is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Knowledge,Present,None,Baseline extraction pack provides central blueprint/register/relationship graph evidence.,00_Agency_Workspace_Intelligence\14_Knowledge\AGENCY_KNOWLEDGE_GRAPH_INDEX.md,"Agency Knowledge is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Change Management,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\15_Change\AGENCY_CHANGE_CONTROL_PROTOCOL.md,"Agency Change Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Versioning,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\15_Change\AGENCY_VERSIONING_AND_RELEASE_LOG.md,"Agency Versioning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Recovery,Missing,Medium-High,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\16_Recovery\AGENCY_RECOVERY_AND_FALLBACK_PLAN.md,"Agency Recovery is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Strategic Planning,Partially Present,Medium,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_INITIATIVE_PORTFOLIO.md,"Agency Strategic Planning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Evolution,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\17_Evolution\AGENCY_EVOLUTION_ROADMAP.md,"Agency Evolution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Completion,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\18_Completion\AGENCY_COMPLETION_CRITERIA.md,"Agency Completion is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Intent,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\00_Foundation\SALES_MISSION_VISION_OBJECTIVES.md,"Sales Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Strategy,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\00_Foundation\SALES_STRATEGIC_ROADMAP.md,"Sales Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Constitution,Partially Present,High,Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md; Sales Drafts\Sales Governance Aritichure Operational Blueprint. Draft 41.docx,Sales Drafts\00_Governance\SALES_OPERATING_CONSTITUTION.md,"Sales Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Governance,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\00_Governance\SALES_GOVERNANCE_CHARTER_AND_RACI.md,"Sales Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Orchestration,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\01_Orchestration\SALES_ORCHESTRATION_ENGINE.md,"Sales Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Workspace Intelligence,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\02_Agent_Roles\Agent_Registry.md; Sales Drafts\06_AI_OPERATIONS\03_Skills\Skill_Library.md,Sales Drafts\00_Workspace_Intelligence_Inventory\SALES_SOURCE_INTELLIGENCE_REGISTER.md,"Sales Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Separation Intelligence,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\00_Workspace_Intelligence_Inventory\SALES_SEPARATION_DELIVERY_MAP.md,"Sales Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Domain Intelligence,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Multi_Agent_Handoff_Template.md,Sales Drafts\02_Domain_Intelligence\SALES_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Sales Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Registries,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md; Sales Drafts\06_AI_OPERATIONS\02_Agent_Roles\Agent_Registry.md,Sales Drafts\03_Registries\SALES_MASTER_REGISTRY.md,"Sales Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Architecture,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\02_Agent_Roles\Agent_Registry.md; Sales Drafts\06_AI_OPERATIONS\03_Skills\Skill_Library.md,Sales Drafts\01_Architecture\SALES_OPERATING_ARCHITECTURE.md,"Sales Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,State Management,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\04_State\SALES_STATE_MODEL_AND_STATUS_BOARD.md,"Sales State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Execution,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\05_Execution\SALES_EXECUTION_PLAYBOOK.md,"Sales Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Workflows,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\05_Execution\SALES_WORKFLOW_CATALOG.md,"Sales Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Agents,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\06_Automation\SALES_AGENT_REGISTRY.md,"Sales Agents is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Tools,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\06_Automation\SALES_TOOL_AND_CONNECTOR_REGISTRY.md,"Sales Tools is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Schemas,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\07_Schemas\SALES_DATA_CONTRACTS_AND_SCHEMAS.md,"Sales Schemas is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Sales Drafts,Sales,Events,Present,None,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md; Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md; Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,Sales Drafts\07_Schemas\SALES_EVENT_CATALOG.md,"Sales Events is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
